Sample	tsne1	tsne2	Patient	Position	Cluster	Cluster
P1_T1_Crypt_B1_1	-14.6004710331904	-10.7828121003469	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B1_10	-6.75873608233853	0.970157891990042	P1	Crypt	2	Enter-2
P1_T1_Crypt_B1_11	-6.0491050094937	4.34681674048551	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_12	-16.9863830541134	-9.82197945653033	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B1_13	1.88849755346873	0.695036626954691	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_14	-2.25511016464204	2.85482170659369	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_15	-13.50990057371	-14.9820045081396	P1	Crypt	4	Goblet-2
P1_T1_Crypt_B1_16	-2.27312944351062	5.6818707732637	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_17	3.32296911175157	-0.577381219030011	P1	Crypt	2	Enter-2
P1_T1_Crypt_B1_18	-10.0034649562798	0.577847370588647	P1	Crypt	2	Enter-2
P1_T1_Crypt_B1_19	-13.2303657188815	-8.27573589166148	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B1_2	-14.2788553634544	-10.6046175137289	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B1_20	5.59109332756807	4.98185164015316	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B1_21	-11.8699628595344	-14.3205891988449	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B1_22	-1.43068579207872	-6.19344593186518	P1	Crypt	5	Enter-1
P1_T1_Crypt_B1_24	-6.57159489506374	0.706615977180533	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_25	-3.16182888366619	-1.7305244777597	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_26	-3.4170925595912	4.93790220092363	P1	Crypt	6	MKI67-high
P1_T1_Crypt_B1_27	-4.07233518547348	-6.23451796050284	P1	Crypt	6	MKI67-high
P1_T1_Crypt_B1_28	0.25361658917902	1.00922970515287	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_29	-13.7738810753285	-6.96826101426202	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B1_3	-3.57357694631812	3.39289764795523	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_30	5.1901165932896	-3.21839910788991	P1	Crypt	5	Enter-1
P1_T1_Crypt_B1_31	-13.4444856291334	-11.0970433036393	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B1_33	-3.06437386866299	0.156112339943027	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_36	1.00966715648232	4.81034043747019	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_37	-8.25924480654943	-4.56463135167157	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B1_38	-1.54644944799562	1.39765638815219	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_39	-8.7609775371206	1.99452275533188	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_4	-6.39326158140572	1.89084977338903	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_40	-4.66638949626017	-4.40995510252885	P1	Crypt	2	Enter-2
P1_T1_Crypt_B1_41	-13.197924339153	-11.8435410199251	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B1_42	-2.38660559077991	-0.543686859037107	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_43	-4.22893519522441	1.20944273721894	P1	Crypt	6	MKI67-high
P1_T1_Crypt_B1_44	-12.541340668523	-11.5963362126818	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B1_45	-2.26030399770278	1.75551325749185	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_46	-4.79890643000956	-4.75127163894327	P1	Crypt	6	MKI67-high
P1_T1_Crypt_B1_47	-5.03134714580917	2.55733821168632	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_48	-3.49495865052563	-6.65965996339141	P1	Crypt	6	MKI67-high
P1_T1_Crypt_B1_49	3.60419578730799	-5.96340925171744	P1	Crypt	2	Enter-2
P1_T1_Crypt_B1_5	-13.7446880743204	-7.48629841917826	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B1_52	8.20113442832566	-2.11442238349311	P1	Crypt	5	Enter-1
